Commodity,Mandi,State,District,Date,Price,Min_Price,Max_Price
Ginger(Green),Doddaballapur APMC,Karnataka,Bengaluru Rural,2026-06-25,14000,12000,16000
Ginger(Green),Bangarpet APMC,Karnataka,Kolar,2026-06-25,7000,6000,7300
Apple,Davangere APMC,Karnataka,Davangere,2026-06-25,15000,10000,20000
Onion,Bengaluru APMC,Karnataka,Bengaluru,2026-06-25,2000,1600,2200
Onion,Kadur APMC,Karnataka,Chikkamagaluru,2026-06-25,1665,1665,1665
Onion,Arasikere APMC,Karnataka,Hassan,2026-06-25,1801,1801,1801
Cauliflower,Mysuru APMC,Karnataka,Mysuru,2026-06-25,2100,2000,2200
Groundnut,Bengaluru APMC,Karnataka,Bengaluru,2026-06-25,3750,3500,4000
Brinjal,Davangere APMC,Karnataka,Davangere,2026-06-25,1200,600,2000
Potato,Doddaballapur APMC,Karnataka,Bengaluru Rural,2026-06-25,2300,2000,2600
Onion,Bengaluru APMC,Karnataka,Bengaluru,2026-06-25,2200,1000,2500
Onion,Bengaluru APMC,Karnataka,Bengaluru,2026-06-25,1200,1000,1600
Garlic,Davangere APMC,Karnataka,Davangere,2026-06-25,12000,10000,13000
Ragi(Finger Millet),Bengaluru APMC,Karnataka,Bengaluru,2026-06-25,5000,4800,5200
Ragi(Finger Millet),Ranebennur APMC,Karnataka,Haveri,2026-06-25,3200,3200,3200
Potato,Nanjangud APMC,Karnataka,Mysuru,2026-06-25,2564,2380,2777
Cabbage,Davangere APMC,Karnataka,Davangere,2026-06-25,1200,700,2000
Bunch Beans,Davangere APMC,Karnataka,Davangere,2026-06-25,1500,700,2100
Cauliflower,Shimoga APMC,Karnataka,Shivamogga,2026-06-25,1800,1500,2000
Cauliflower,Bagepalli APMC,Karnataka,Chikkaballapur,2026-06-25,400,300,500
Brinjal,Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-25,3500,3000,4000
Brinjal,Honnali APMC,Karnataka,Davangere,2026-06-25,1200,1000,1300
Brinjal,Chintamani APMC,Karnataka,Chikkaballapur,2026-06-25,2000,1500,2500
Brinjal,Nanjangud APMC,Karnataka,Mysuru,2026-06-25,3703,3030,4166
Brinjal,Shimoga APMC,Karnataka,Shivamogga,2026-06-25,1800,1600,2000
Brinjal,Kolar APMC,Karnataka,Kolar,2026-06-25,2300,1500,3000
Ground Nut Seed,Bengaluru APMC,Karnataka,Bengaluru,2026-06-25,14250,14000,14500
Neem Seed,Kustagi APMC,Karnataka,Koppal,2026-06-25,1317,1300,2330
Red gram/Arhar/Tur(whole),Vijayapura APMC,Karnataka,Vijayapura,2026-06-25,7400,7161,7550
Red gram/Arhar/Tur(whole),Talikot APMC,Karnataka,Vijayapura,2026-06-25,7336,5625,7719
Red gram/Arhar/Tur(whole),Lingasugur APMC,Karnataka,Raichur,2026-06-25,7500,7050,7700
Green Peas,Bengaluru APMC,Karnataka,Bengaluru,2026-06-25,7000,6000,8000
Chilly Capsicum,Chintamani APMC,Karnataka,Chikkaballapur,2026-06-25,2500,2000,3000
Chilly Capsicum,Bangarpet APMC,Karnataka,Kolar,2026-06-25,3000,2000,3500
Chilly Capsicum,Kolar APMC,Karnataka,Kolar,2026-06-25,5200,4000,6000
Peas Wet,"Binny Mill (F&V), Bengaluru APMC",Karnataka,Bengaluru,2026-06-25,10500,10000,11000
Knool Khol,Davangere APMC,Karnataka,Davangere,2026-06-25,2800,1200,3600
Knool Khol,Chintamani APMC,Karnataka,Chikkaballapur,2026-06-25,2500,2000,3000
Seemebadnekai,"Binny Mill (F&V), Bengaluru APMC",Karnataka,Bengaluru,2026-06-25,1700,1600,2000
Chennangi Dal,Bengaluru APMC,Karnataka,Bengaluru,2026-06-25,6250,6000,6500
Chapparad Avare,"Binny Mill (F&V), Bengaluru APMC",Karnataka,Bengaluru,2026-06-25,4000,3500,4500
Banana,Channapatna APMC,Karnataka,Bengaluru South,2026-06-25,1600,1400,2000
Tomato,"Binny Mill (F&V), Bengaluru APMC",Karnataka,Bengaluru,2026-06-25,2700,2500,2800
Tomato,Channapatna APMC,Karnataka,Bengaluru South,2026-06-25,2000,1150,2500
Tomato,Chikkamagaluru APMC,Karnataka,Chikkamagaluru,2026-06-25,2470,2370,2570
Tomato,Chintamani APMC,Karnataka,Chikkaballapur,2026-06-25,1533,330,2333
Tomato,Shimoga APMC,Karnataka,Shivamogga,2026-06-25,1200,800,2000
Tomato,Gundlupet APMC,Karnataka,Chamarajanagar,2026-06-25,3000,3000,3000
Tomato,Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-25,2000,1000,2500
Banana - Green,Doddaballapur APMC,Karnataka,Bengaluru Rural,2026-06-25,5000,4000,6000
Maize,Haveri APMC,Karnataka,Haveri,2026-06-25,1920,1900,1950
Maize,Ranebennur APMC,Karnataka,Haveri,2026-06-25,2282,2165,2400
Maize,Shikaripura APMC,Karnataka,Shivamogga,2026-06-25,2270,2200,2310
Green Chilli,"Binny Mill (F&V), Bengaluru APMC",Karnataka,Bengaluru,2026-06-25,4400,4200,4600
Green Chilli,Davangere APMC,Karnataka,Davangere,2026-06-25,1800,900,2700
Green Chilli,Ranebennur APMC,Karnataka,Haveri,2026-06-25,2500,2000,3000
Green Chilli,Channapatna APMC,Karnataka,Bengaluru South,2026-06-25,4500,4000,5000
Green Chilli,Shimoga APMC,Karnataka,Shivamogga,2026-06-25,3000,2000,4000
Maize,Hirekerur APMC,Karnataka,Haveri,2026-06-25,2200,2200,2200
Maize,Vijayapura APMC,Karnataka,Vijayapura,2026-06-25,2232,2226,2238
Maize,Gundlupet APMC,Karnataka,Chamarajanagar,2026-06-25,2600,2600,2600
Maize,Bagalkot APMC,Karnataka,Bagalkot,2026-06-25,2295,2100,2409
Maize,Sankeshwar APMC,Karnataka,Belagavi,2026-06-25,2380,2380,2380
Bengal Gram(Gram)(Whole),Jevargi APMC,Karnataka,Kalaburagi,2026-06-25,5848,5800,5900
Bengal Gram(Gram)(Whole),Sindhanur APMC,Karnataka,Raichur,2026-06-25,5980,5980,5980
Bengal Gram(Gram)(Whole),Kalaburagi APMC,Karnataka,Kalaburagi,2026-06-25,5200,4800,5600
Bengal Gram(Gram)(Whole),Dharwar APMC,Karnataka,Dharwad,2026-06-25,6000,5900,6000
Bengal Gram(Gram)(Whole),Laxmeshwar APMC,Karnataka,Gadag,2026-06-25,5659,4969,5890
